ID,Title,TMDB_id,IMGID,Release,Runtime,Genres,Language,Cast,Director,Producer,Writer,Sound Designer,Editor,Director of Photography,Composer,Art Direction,Production Design,Costume Design,Makeup Artist
[Film2104],Snake Eyes,8688,/kDc89zkOTGUUhhOBe0Uuc9jA3Bu.jpg,1998-08-07,98,"Thriller,Crime,Mystery",en,"Nicolas Cage,Gary Sinise,John Heard,Carla Gugino,Stan Shaw",Brian De Palma,Brian De Palma,,,Bill Pankow,Stephen H. Burum,Ryuichi Sakamoto,"Isabelle Guay,Réal Proulx,James Fox",Anne Pritchard,Odette Gadoury,Claudette B. Casavant
[Film2121],Howards End,8293,/Ar02D6fAFqRItTpfUnqgMEhg40R.jpg,1992-03-13,142,"Drama,Romance",en,"Emma Thompson,Helena Bonham Carter,Anthony Hopkins,Samuel West,Vanessa Redgrave",James Ivory,Ismail Merchant,,,Andrew Marcus,Tony Pierce-Roberts,Richard Robbins,,Luciana Arrighi,,
[Film21274],Set It Off,9400,/xD5SsSidFIqz4KAWaBj2ShfdXv6.jpg,1996-11-06,123,"Crime,Drama,Thriller",en,"Jada Pinkett Smith,Queen Latifah,Vivica A. Fox,Kimberly Elise,Blair Underwood",F. Gary Gray,"Oren Koules,Takashi Bufford,Dale Pollock",,,John Carter,Marc Reshovsky,Christopher Young,,Robb Wilson King,Sylvia Vega-Vasquez,
[Film2127],The Fisher King,177,/5mb1IV53luUNTRyF3TSC77X1KZs.jpg,1991-09-20,138,"Comedy,Drama",en,"Jeff Bridges,Robin Williams,Mercedes Ruehl,Amanda Plummer,Michael Jeter",Terry Gilliam,"Debra Hill,Lynda Obst",Richard LaGravenese,,Lesley Walker,Roger Pratt,George Fenton,P. Michael Johnston,Mel Bourne,Beatrix Aruna Pasztor,
[Film2129],The Celebration,309,/2LRzNq41yrY8EjCnD1S8sCCPvKk.jpg,1998-06-19,105,Drama,da,"Ulrich Thomsen,Henning Moritzen,Thomas Bo Larsen,Paprika Steen,Birthe Neumann",Thomas Vinterberg,Birgitte Hald,,Morten Holm,Valdís Óskarsdóttir,Anthony Dod Mantle,Lars Bo Jensen,,,,
[Film21357],Rubber's Lover,48191,/qac6sprYQoicT9EuRhDjb00FEgg.jpg,1996-09-28,91,"Horror,Science Fiction",ja,"Nao,Norimizu Ameya,Yohta Kawase,Mika Kunihiro",Shozin Fukui,Takashi Nishimura,Shozin Fukui,,,,,Tetsuo Sakaibara,,,"Junko Ajisaka,Masako Ishii,Chieko Kobayashi,Yuuko Uchihashi,Natsuko Uetake"
[Film21400],The Voyeur,27065,/dwjNSABO7l83DlRcKqeeMea0zlH.jpg,1997-01-01,90,Drama,en,"Kim Dawson,Joseph Schuster,Nathaniel Roberts,Karen Racanelli,Belinda Farrell",Deborah Shames,Lynn Larkin,Udana Power,,,Bill Zarchy,Jim Purcell,,,,
[Film21530],Models,56358,/2UQbrSTIBzRQZNeygcYY0jLqCzG.jpg,1999-02-26,118,"Drama,Documentary",de,"Vivian Bartsch,Tanja Petrovsky,Lisa Grossmann,Elvyra Geyer",Ulrich Seidl,Kurt J. Mrkwicka,Ulrich Seidl,,Christof Schertenleib,"Hans Selikovsky,Jerzy Palacz,Ortrun Bauer",,,,,
[Film215398],Super Citizen Ko,341234,/tPxoV5bhhxBmgzr6mvOM7oe1H2m.jpg,1995-01-01,121,Drama,zh,"Ko I-Chen,Su Ming-ming,Lin Yang,Chen Chiu-yen",Wan Jen,Liao Ching-Sung,,,Liao Ching-Sung,Stone Shen,,,,,
[Film21566],Nelly and Monsieur Arnaud,12652,/87kKTPi9r7YIVrlo9Z42NwTXBVi.jpg,1995-08-23,106,"Drama,Romance",fr,"Emmanuelle Béart,Michel Serrault,Jean-Hugues Anglade,Claire Nadeau,Michael Lonsdale",Claude Sautet,Alain Sarde,,,Jacqueline Thiédot,Jean-François Robin,Philippe Sarde,,,,
[Film2159],Cape Fear,1598,/ws4mrtndzgSH5QGCamOFAgilr2R.jpg,1991-11-15,128,"Thriller,Crime",en,"Robert De Niro,Nick Nolte,Jessica Lange,Juliette Lewis,Joe Don Baker",Martin Scorsese,"Robert De Niro,Barbara De Fina",,,Thelma Schoonmaker,Freddie Francis,,Jack G. Taylor Jr.,Henry Bumstead,Rita Ryack,"Dorothy J. Pearl,Edouard F. Henriques,Elizabeth Lambert"
[Film215],Reservoir Dogs,500,/lsBnfheKZBO3UKU7lVHIeGZLWuF.jpg,1992-09-02,99,"Crime,Thriller",en,"Harvey Keitel,Tim Roth,Michael Madsen,Chris Penn,Steve Buscemi",Quentin Tarantino,Lawrence Bender,"Quentin Tarantino,Roger Avary",,Sally Menke,Andrzej Sekula,,,David Wasco,Betsy Heimann,Michelle Bühler
[Film2161],Nowhere,1811,/9CaVnvBRbzsM7mcJoIMncpHSBBN.jpg,1997-05-09,78,"Science Fiction,Drama,Comedy",en,"James Duval,Rachel True,Nathan Bexton,Chiara Mastroianni,Debi Mazar",Gregg Araki,"Andrea Sperling,Gregg Araki",,Mark A. Rozett,Gregg Araki,Arturo Smith,,"Dan Knapp,Pae White",Patti Podesta,Sara Jane Slotnick,
[Film21668],Dilwale Dulhania Le Jayenge,19404,/2CAL2433ZeIihfX1Hb2139CX0pW.jpg,1995-10-20,190,"Comedy,Drama,Romance",hi,"Shah Rukh Khan,Kajol,Amrish Puri,Anupam Kher,Satish Shah",Aditya Chopra,Yash Chopra,,,Keshav Naidu,Manmohan Singh,"Jatin Pandit,Lalit Pandit",Sharmishta Roy,,"Karan Johar,Shashikant Shellar","Ravi Indulkar,Pandhari Juker,Vinod Rathod"
[Film21695],"Je vous salue, Sarajevo",174473,/iuHUsmAeKD5idzZtRsK83mkYEMR.jpg,1993-04-13,2,War,fr,Jean-Luc Godard,Jean-Luc Godard,,Jean-Luc Godard,,Jean-Luc Godard,,,,,,
[Film217213],Limbo,62676,/1ytI3G3dT6j888ySOwYhpJHz8ED.jpg,1999-06-04,126,"Adventure,Drama,Thriller",en,"Mary Elizabeth Mastrantonio,David Strathairn,Vanessa Martinez,Kris Kristofferson,Casey Siemaszko",John Sayles,Maggie Renzi,John Sayles,,John Sayles,Haskell Wexler,Mason Daring,Keith Neely,Gemma Jackson,Shay Cunliffe,
[Film2174],8MM,8224,/iNdCT4b8LnWYFueRH0RO5o6f6pk.jpg,1999-02-26,123,"Thriller,Crime,Mystery",en,"Nicolas Cage,Joaquin Phoenix,James Gandolfini,Peter Stormare,Anthony Heald",Joel Schumacher,"Joel Schumacher,Gavin Polone,Judy Hofflund",Andrew Kevin Walker,,Mark Stevens,Robert Elswit,Mychael Danna,Gershon Ginsburg,Gary Wissner,Mona May,Linda Grimes
[Film219],Die Hard With a Vengeance,1572,/amwo4CjYKynZ2yKvKMxoiRSsaE1.jpg,1995-05-19,128,"Action,Thriller",en,"Bruce Willis,Jeremy Irons,Samuel L. Jackson,Graham Greene,Colleen Camp",John McTiernan,"John McTiernan,Michael Tadross",,Mark A. Mangini,John Wright,Peter Menzies Jr.,Michael Kamen,"John R. Jensen,Woods Mackintosh",Jackson De Govia,Joseph G. Aulisi,"Linda DeVetta,Marilyn Peoples,Christina Bartolucci"
[Film2200],The Eel,,,,,,,,,,,,,,,,,,
[Film22217],End,9946,/gNAhD6VdlvwxWk7CQnIvPyiItEU.jpg,1999-11-24,121,"Action,Fantasy,Horror,Mystery",en,"Arnold Schwarzenegger,Gabriel Byrne,Robin Tunney,Kevin Pollak,CCH Pounder",Peter Hyams,"Armyan Bernstein,Bill Borden",Andrew W. Marlowe,Tony Lamberti,"Steven Kemper,Jeff Gullo",Peter Hyams,John Debney,Charlie Daboub,Richard Holland,Bobbie Mannix,"Louis Lazzara,Dayne Johnson"
[Film22222],Life,9487,/hFamOus53922agTlKxhcL7ngJ9h.jpg,1998-11-25,95,"Adventure,Animation,Comedy,Family",en,"Dave Foley,Kevin Spacey,Julia Louis-Dreyfus,Hayden Panettiere,Phyllis Diller",John Lasseter,"Darla K. Anderson,Kevin Reher",,Gary Rydstrom,Lee Unkrich,Sharon Calahan,Randy Newman,"Bob Pauley,Tia W. Kratter",William Cone,,
[Film22223],Sink or Swim,123777,/vTjfdtmPp98440GMoKKeOYXj4ix.jpg,1990-09-30,48,Documentary,en,Jessica Meyerson,Su Friedrich,,Su Friedrich,,Su Friedrich,Su Friedrich,,,,,
[Film22240],Chinese Box,30265,/cA7DXTBSijHTWIbcZVEV0xhsCJz.jpg,1997-11-14,99,"Drama,Romance",en,"Jeremy Irons,Gong Li,Maggie Cheung,Michael Hui,Rubén Blades",Wayne Wang,"Jean-Louis Piel,Lydia Dean Pilcher,Wayne Wang",Jean-Claude Carrière,,Christopher Tellefsen,Vilko Filač,Graeme Revell,,,Shirley Chan Koo-Fong,
[Film22281],Noiseman Sound Insect,72188,/fejZKpoyWSq1N5sc6C5zSrVbq6v.jpg,1997-11-22,16,"Animation,Science Fiction,Fantasy",ja,"Etsuko Kozakura,Hideki Ogihara,Kappei Yamaguchi,Kenichi Ono",Koji Morimoto,"Kazuhiko Ikeguchi,Eiko Tanaka",,,,,Yoko Kanno,Shuichi Hirata,,,
[Film2236],Drifting Clouds,8214,/xxzuKTo3RNyyUGXghfVkeiSbVDt.jpg,1996-01-26,97,Drama,fi,"Kati Outinen,Kari Väänänen,Elina Salo,Sakari Kuosmanen,Markku Peltola",Aki Kaurismäki,Aki Kaurismäki,,,Aki Kaurismäki,Timo Salminen,Shelley Fisher,,"Markku Pätilä,Jukka Salmi",Tuula Hilkamo,
[Film22399],The Annihilation of Fish,49796,/1S39hAekgwHJZZ5Ntx8t3649EpX.jpg,1999-01-01,108,"Drama,Romance,Comedy",en,"James Earl Jones,Lynn Redgrave,Margot Kidder,Sarah Benoit",Charles Burnett,,Anthony C. Winkler,,Nancy Richardson,John L. Demps Jr.,,,,,
[Film22463],Malina,66557,/tdDqbxdgdv6nZEFVHB4XVo9e5iW.jpg,1991-01-17,125,"Drama,Fantasy,Mystery,Romance",de,"Isabelle Huppert,Lisa Kreuzer,Mathieu Carrière,Can Togay,Fritz Schediwy",Werner Schroeter,"Steffen Kuchenreuther,Peter Pochlatko,Thomas Kuchenreuther","Elfriede Jelinek,Patricia Moraz",,Juliane Lorenz,Elfi Mikesch,Giacomo Manzoni,,Alberte Barsacq,Alberte Barsacq,"Anni Nöbauer,Ilse Weisz-Stainer"
[Film224],Jackie Brown,184,/ewbLUXvm4riZL0aepy90o0vMesn.jpg,1997-04-10,154,"Crime,Thriller,Drama",en,"Pam Grier,Samuel L. Jackson,Robert De Niro,Bridget Fonda,Michael Keaton",Quentin Tarantino,Lawrence Bender,,,Sally Menke,Guillermo Navarro,,Daniel Bradford,David Wasco,Mary Claire Hannan,"Marietta Carter-Narcisse,Ilona Herman,Bob Mills"
[Film22507],Three Days,88860,/3L0or3ywpvlC6I1BgWn2AOjfxJk.jpg,1992-12-12,75,Drama,lt,"Yekaterina Golubeva,Rimma Latypova,Arūnas Sakalauskas,Audrius Stonys",Šarūnas Bartas,Audrius Kuprevicius,Šarūnas Bartas,,Mingailė Murmulaitienė,Vladas Naudžius,Šarūnas Bartas,,,,
[Film22535],Buccaneer Soul,183023,/e5PH5dMynxcUrjTrio57qvym1Ng.jpg,1993-07-07,116,"Comedy,Drama",pt,"Bertrand Duarte,Jandir Ferrari,Andrea Richa,Flor,Mariana de Moraes",Carlos Reichenbach,"Sara Silveira,Carlos Reichenbach",Carlos Reichenbach,,Cristina Amaral,Carlos Reichenbach,,Renato Theobaldo,,,
[Film225],Three Colours: Red,110,/5YIzZaQlwYJY5ZEqHRs9dG9DduB.jpg,1994-05-27,100,"Drama,Mystery,Romance",fr,"Irène Jacob,Jean-Louis Trintignant,Jean-Pierre Lorit,Frédérique Feder,Samuel Le Bihan",Krzysztof Kieślowski,Marin Karmitz,,Jean-Claude Laureux,Jacques Witta,Piotr Sobocinski,"Zbigniew Preisner,Bertrand Lenclos",,Claude Lenoir,Corinne Jorry,
[Film226343],Bobby Fischer bor i Pasadena,493327,/cs0LRgYyhF5ssMETNM9f7I4Vnew.jpg,1990-10-21,160,Drama,sv,"Lena Nyman,Bengt Blomgren,Stefan Sauk,Betty Tuvén",Vibeke Bjelke,Caisa Westling,Lars Norén,,,,,,,,
[Film226],Story of Ricky,17467,/q6O9Y3tQdc3uvlIbY3JtKSdoT8F.jpg,1991-10-05,92,"Comedy,Action,Thriller",cn,"Fan Siu-Wong,Gloria Yip,Yukari Ôshima,Frankie Chin Chi-Leung,Kôichi Sugisaki",Lam Ngai Kai,Chan Dung Chow,,,"Yiu Chung Cheng,Chuen Dak Geung",,,"Gim Seng Hiu,Kim-Sing Ho",,Mei Shing Wang,
[Film227300],Vassourinha: The Voice and the Void,463268,/ujNI5wBXsoT0mbzSmd8XdqFl8t3.jpg,1998-01-01,17,"Documentary,Music",pt,,Carlos Adriano,Carlos Adriano,Carlos Adriano,,Cristina Amaral,Carlos Reichenbach,,,,,
[Film2280],Good Burger,14817,/9Lxw2CCPceBzViBsA00za4oP6OZ.jpg,1997-07-25,95,"Family,Comedy",en,"Kel Mitchell,Kenan Thompson,Sinbad,Abe Vigoda,Shar Jackson",Brian Robbins,"Brian Robbins,Mike Tollin,Heath Seifert,Kevin Kopelow","Dan Schneider,Heath Seifert,Kevin Kopelow",,Anita Brandt-Burgoyne,Mac Ahlberg,Stewart Copeland,Robert J. Bacon,Steven J. Jordan,Natasha Landau,Sheila Evers
[Film22847],Pensão Globo,299301,,1997-10-08,15,,en,"Bavo Defurne,Heiko Dupke,Ariana Mirza",Matthias Müller,,Matthias Müller,,Matthias Müller,Matthias Müller,Dirk Schaefer,,,,
[Film2287],Before the Rain,19155,/e3oPylXb2nnoE5fVLaehi1Jaxsa.jpg,1994-06-09,113,"Drama,War",mk,"Katrin Cartlidge,Rade Šerbedžija,Grégoire Colin,Labina Mitevska,Phyllida Law",Milcho Manchevski,"Cat Villiers,Cédomir Kolar,Sam Taylor",Milcho Manchevski,,Nicolas Gaster,Manuel Teran,,,"Sharon Lomofsky,David Munns","Caroline Harris,Sue Yelland","Joan Hills,Morag Ross"
[Film229],Three Colours: Blue,108,/ayKRZejiarjY4R3UE1JKlSYcyHk.jpg,1993-09-08,98,Drama,fr,"Juliette Binoche,Benoît Régent,Florence Pernel,Charlotte Véry,Hélène Vincent",Krzysztof Kieślowski,Marin Karmitz,,Jean-Claude Laureux,Jacques Witta,Slawomir Idziak,Zbigniew Preisner,,Claude Lenoir,,
[Film2317],Nouvelle vague,32691,/pFofqGMcfiIoDISZBjctw2qggla.jpg,1990-03-23,89,Drama,fr,"Alain Delon,Domiziana Giordano,Jacques Dacqmine,Christophe Odent",Jean-Luc Godard,Alain Sarde,Jean-Luc Godard,,Jean-Luc Godard,William Lubtchansky,,Anne-Marie Miéville,,"Melusine Shamber,Marie-Françoise Perochon,Ingeborg Dietsche",Josée De Luca
[Film23190],Twist,49146,/zAYTgtQlQzFK8xGu6mREuOZTkJX.jpg,1997-05-15,91,"Family,TV Movie,Drama",en,"Richard Dreyfuss,Elijah Wood,David O'Hara,Alex Trench,Antoine Byrne",Tony Bill,Steven North,,,Axel Hubert,Bing Sokolsky,Van Dyke Parks,,,,
[Film23246],The Dream of a Ridiculous Man,119855,/r6f7ufGatqyjbJwaLLo2qs3zhk7.jpg,1992-10-07,20,"Animation,Drama,Fantasy",ru,Aleksandr Kaydanovskiy,Aleksandr Petrov,,,,Lyudmila Putyatina,Sergey Reshetnikov,,,,,
[Film23248],Mermaid,209792,/miLHuvLBJ23iDCad4rmUMMQlsMz.jpg,1992-05-24,50,"Family,Animation",en,,"Chinami Namba,Masakazu Higuchi",Diane Eskenazi ,Hans Christian Andersen,,,,,,,,
[Film2340],Swingers,10218,/rRjWk68kU3a2so4lgr3TKB7Y5vA.jpg,1996-10-18,96,Comedy,en,"Vince Vaughn,Jon Favreau,Heather Graham,Patrick Van Horn,Brooke Langton",Doug Liman,Victor Simpkins,,,Stephen Mirrione,Doug Liman,Justin Reinhardt,,Brad Halvorson,Genevieve Tyrrell,
[Film23411],The Servile,256212,/joWXgPgCi6y172IxcYaowO6zAIo.jpg,1994-01-27,112,Drama,ml,"M R Gopakumar,Mammootty,Sabitha Anand,Babu Namboothiri,Tanvi Azmi",Adoor Gopalakrishnan,K Raveendran Nair,,,M. Mani,Mankada Ravi Varma,Vijaya Bhaskar,,,,
[Film2347],Dreams,12516,/j0NQsYqnqvhTtBj7vhCa9iKT0NA.jpg,1990-05-11,120,"Fantasy,Drama",ja,"Akira Terao,Mitsuko Baisho,Toshie Negishi,Mieko Harada,Mitsunori Isaki",Akira Kurosawa,"Mike Y. Inoue,Hisao Kurosawa,Seikichi Iizumi",,,Tome Minami,"Takao Saitō,Shôji Ueda",Shinichirô Ikebe,,"Yoshirô Muraki,Akira Sakuragi",,
[Film23542],One Ephemeral Mission,347260,/u9r5qAHwEJ7GUWHfKUF0PQGMK1A.jpg,1993-07-01,9,Animation,fr,,Piotr Kamler,,,,,,,,,,
[Film2357],I Hired a Contract Killer,7975,/hVjsTcYKeXxNnAva4QxsqfwblM6.jpg,1990-10-12,80,"Comedy,Drama",en,"Jean-Pierre Léaud,Margi Clarke,Kenneth Colley,T.R. Bowen,Imogen Claire",Aki Kaurismäki,Aki Kaurismäki,,,Aki Kaurismäki,Timo Salminen,,Mark Lavis,John Ebden,Simon Murray,Simon Murray
[Film23584],My Sons,386142,/yOBtCRn5FrJTDLVKyKnXlek3DfN.jpg,1992-01-01,18,Documentary,en,,Kidlat Tahimik,,Kidlat Tahimik,,,,,,,,
[Film235],Three Colours: White,109,/4jDSCLCWxHutCAZRve8Kkso2UfA.jpg,1994-01-26,92,"Comedy,Drama,Mystery",fr,"Zbigniew Zamachowski,Julie Delpy,Janusz Gajos,Jerzy Stuhr,Aleksander Bardini",Krzysztof Kieślowski,Marin Karmitz,,,Urszula Lesiak,Edward Kłosiński,Zbigniew Preisner,,"Halina Dobrowolska,Claude Lenoir",,"Jadwiga Cichocka,Jolanta Pruszynska"
[Film236047],Chocolate Babies,281571,/nLs95FIH3oKN3P6hH5T6kTvpwN8.jpg,1997-06-22,83,Drama,en,"Dudley Findlay Jr.,Jon Kit Lee,Claude E. Sloan,Bryan Webster",Stephen Winter,"Jason Kliot,Joana Vicente",Stephen Winter,,"Stephen Winter,Francisco Macias",Chris Shaw,,,Ana Iza Otis,Martha Gretsch,
[Film23647],Muppet Treasure Island,10874,/k4KW2CUkzDKaCy4H4cS02cO8gvV.jpg,1996-02-16,100,"Action,Comedy,Music,Family,Adventure,Romance",en,"Tim Curry,Billy Connolly,Jennifer Saunders,Kevin Bishop,Dave Goelz",Brian Henson,"Frank Oz,Brian Henson",,,Michael Jablow,John Fenner,Hans Zimmer,,,,
[Film23688],Midori,317320,,1996-06-29,104,Drama,ja,"Hiroko Shimada,Haruhiko Katō,Masato Irie,Hiroko Nakajima",Ryuichi Hiroki,,,,,Tokushô Kikumura,,,,,
[Film236],Naked,21450,/drk9JD0M2JrSoVUtKyMqi3KSYXQ.jpg,1993-09-14,131,"Drama,Comedy",en,"David Thewlis,Lesley Sharp,Katrin Cartlidge,Greg Cruttwell,Claire Skinner",Mike Leigh,Simon Channing Williams,Mike Leigh,,Jon Gregory,Dick Pope,Andrew Dickson,Eve Stewart,Alison Chitty,Lindy Hemming,Christine Blundell
[Film23781],A Borrowed Life,163202,/p1CIvfJ75smZgPHvhZhWZUj8QSQ.jpg,1995-08-26,167,Drama,zh,"Tsai Chen-Nan,Jun Fu,Ing-How Tan,Akio Chen,Yung-Feng Lee",Wu Nien-Jen,Wang Ying-hsiang,Wu Nien-Jen,,Liao Ching-Sung,,,,,,
[Film2383],God's Comedy,49974,/5Y4VOCIpLvHFf62UyOuWNtrkc7K.jpg,1995-01-01,162,"Comedy,Drama",pt,"João César Monteiro,Gracinda Nave,Sylvie Rocha,Dalila Carmo,Anabela Teixeira",João César Monteiro,Joaquim Pinto,,Rolly Belhassen,Carla Bogalheiro,Mário Barroso,,,Emmanuel de Chauvigny,Matilde Matos,
[Film2388],The Dreamlife of Angels,9840,/1yxr5KJHJk5aPCbapJaBS8Znx8V.jpg,1998-10-16,113,Drama,fr,"Élodie Bouchez,Natacha Régnier,Patrick Mercado,Grégoire Colin,Jo Prestia",Erick Zonca,,,,,Agnès Godard,Yann Tiersen,,,,
[Film23959],The Enclosed Valley,182641,/puik6pmIAXQC07CeyMTWDYLGY2H.jpg,2000-02-07,144,Documentary,fr,,Jean-Claude Rousseau,Jean-Claude Rousseau,,,,Jean-Claude Rousseau,,,,,
